date,open,high,low,close,volume,return_t,abs_return_t,intraday_range_t,log_volume_change_t,rolling_volatility_5_t,stress_interaction_t,weekday_Friday,weekday_Monday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,next_day_abs_return
2018-05-30,270.5,273.11,270.42,272.61,69396900,0.013344732733625797,0.013344732733625797,0.009944547134935297,-0.5110901481404468,0.14370435376630233,0.00013270732367265568,0,0,0,0,1,0.00612596749935812
2018-05-31,272.15,272.49,270.255,270.94,93426970,-0.00612596749935812,0.00612596749935812,0.008212382877089891,0.29733785994869066,0.14690813788218282,5.030879059733781e-05,0,0,1,0,0,0.009817671809256856
2018-06-01,272.41,273.94,272.33,273.6,71088010,0.009817671809256856,0.009817671809256856,0.005910208876326176,-0.2732613713544154,0.16799223753111814,5.802449107192714e-05,1,0,0,0,0,0.004751461988304007
2018-06-04,274.53,275.185,274.26,274.9,45188240,0.004751461988304007,0.004751461988304007,0.003369394965941833,-0.4530818028065511,0.16756474873245875,1.6009552104255494e-05,0,1,0,0,0,0.0007275372862860507
2018-06-05,275.05,275.53,274.18,275.1,50988090,0.0007275372862860507,0.0007275372862860507,0.00490819850936181,0.12075519752796637,0.12134209865860372,3.5708974240543303e-06,0,0,0,1,0,0.008360596146855581
2018-06-06,275.79,277.52,275.09,277.4,62498610,0.008360596146855581,0.008360596146855581,0.008811051887305583,0.2035522368426541,0.10209484990291512,7.366564645875166e-05,0,0,0,0,1,0.00010814708002870876
2018-06-07,277.95,278.28,276.34,277.37,72882070,-0.00010814708002870876,0.00010814708002870876,0.00697967260298614,0.15369833662775179,0.070320411552817,7.548312115693281e-07,0,0,1,0,0,0.0029563399069834073
2018-06-08,276.85,278.25,276.66,278.19,71981550,0.0029563399069834073,0.0029563399069834073,0.005743182228643579,-0.012432819052289545,0.05386843882116742,1.6978798815616917e-05,1,0,0,0,0,0.0013300262410582686
2018-06-11,278.44,279.37,278.31,278.56,58757260,0.0013300262410582686,0.0013300262410582686,0.00380692429248672,-0.20299511319403152,0.05368674771225054,5.063309206729521e-06,0,1,0,0,0,0.001292360712234375
2018-06-12,279.03,279.33,278.19,278.92,72240090,0.001292360712234375,0.001292360712234375,0.004085582195462805,0.20658043192102937,0.052548031952615745,5.280045916020392e-06,0,0,0,1,0,0.003190879105119948
2018-06-13,279.19,279.48,277.8,278.03,78889800,-0.003190879105119948,0.003190879105119948,0.006017407500268659,0.0880567858062733,0.0366604135596714,1.920081985959932e-05,0,0,0,0,1,0.002517713915764608
2018-06-14,279.01,279.33,278.0599,278.73,76394330,0.002517713915764608,0.002517713915764608,0.004552166589010992,-0.03214346275541047,0.038792631227714765,1.1461053168031681e-05,0,0,1,0,0,0.00574032217558218
2018-06-15,276.6,277.51,275.35,277.13,119448800,-0.00574032217558218,0.00574032217558218,0.007809110629067129,0.44697934420005225,0.05614538137906375,4.482681091560855e-05,1,0,0,0,0,0.0020567964493197755
2018-06-18,275.49,276.7,274.95,276.56,52549580,-0.0020567964493197755,0.0020567964493197755,0.00635231768848234,-0.8211307121163074,0.053284922353827875,1.3065424466621681e-05,0,1,0,0,0,0.00383280300838873
2018-06-19,274.0,275.75,273.53,275.5,97395160,-0.00383280300838873,0.00383280300838873,0.008102189781021998,0.6170194037569985,0.049005388039399064,3.105409736723754e-05,0,0,0,1,0,0.0017059891107078506
2018-06-20,276.27,276.72,275.59,275.97,53652060,0.0017059891107078506,0.0017059891107078506,0.004090201614362951,-0.5962566436935859,0.05620952113772284,6.977839414702866e-06,0,0,0,0,1,0.00626879733304353
2018-06-21,275.96,275.98,273.68,274.24,70864990,-0.00626879733304353,0.00626879733304353,0.008334541237860602,0.2782566476209354,0.05121799201203531,5.224754988404186e-05,0,0,1,0,0,0.0018232205367560983
2018-06-22,275.66,275.785,274.49,274.74,56516380,0.0018232205367560983,0.0018232205367560983,0.004697816150330174,-0.22624600628223135,0.05587768612414483,8.565154883186448e-06,1,0,0,0,0,0.013612870350149242
2018-06-25,273.44,273.6162,269.1,271.0,137668700,-0.013612870350149242,0.013612870350149242,0.016516237565827856,0.8903195560888655,0.10166008604057093,0.00022483340065587913,0,1,0,0,0,0.0022140221402215943
2018-06-26,271.64,272.56,270.79,271.6,68525150,0.0022140221402215943,0.0022140221402215943,0.006515977028419901,-0.6976492356616895,0.11105503549972011,1.4426517406096973e-05,0,0,0,1,0,0.008284241531664183
2018-06-27,272.26,273.865,269.18,269.35,104838900,-0.008284241531664183,0.008284241531664183,0.01720781605817969,0.4252240499982882,0.10796539613054065,0.00014255370445841005,0,0,0,0,1,0.005717467978466617
2018-06-28,269.29,271.75,268.49,270.89,76511740,0.005717467978466617,0.005717467978466617,0.012105908128783061,-0.31498068957978376,0.12929852013017254,6.921514207657588e-05,0,0,1,0,0,0.0014396987707185893
2018-06-29,272.12,273.66,271.1495,271.28,97444490,0.0014396987707185893,0.0014396987707185893,0.00922570924592105,0.2418386866206923,0.1285303952254714,1.3282242260359659e-05,1,0,0,0,0,0.002138012385727084
2018-07-02,269.51,272.04,269.24,271.86,63370550,0.002138012385727084,0.002138012385727084,0.010389224889614529,-0.43028363453726115,0.08354266062401161,2.221229149209996e-05,0,1,0,0,0,0.003531229309203354
2018-07-03,272.87,272.98,270.42,270.9,42187070,-0.003531229309203354,0.003531229309203354,0.009381756880565846,-0.4068854585715407,0.08664381931183153,3.312913486847435e-05,0,0,0,1,0,0.0081579918789223
