date,sessions,ending_close,monthly_return,realized_vol_annualized,average_volume,average_intraday_range
2018-08-31,23,290.31,0.03191980947641637,0.06962732077034328,56708271.30434783,0.005677588705114648
2018-09-30,19,290.72,0.0014122834211707236,0.0596520298080409,64393253.684210524,0.005894263879671076
2018-10-31,23,270.63,-0.06910429279031349,0.22081802651960605,130830429.56521739,0.01744954317444858
2018-11-30,21,275.65,0.018549310867235658,0.187867687467769,95634968.57142857,0.013814723332157108
2018-12-31,19,249.92,-0.093343007436967,0.3043592152225294,162329106.31578946,0.025863021686770748
2019-01-31,21,269.93,0.08006562099871961,0.18235941529826402,96685577.14285715,0.01311238310233567
2019-02-28,19,278.68,0.03241581150668704,0.08120398032490095,71851355.78947368,0.00705334531212862
2019-03-31,21,282.48,0.01363571120999052,0.11676920686284387,79557395.71428572,0.00935676943995218
2019-04-30,21,294.02,0.04085244973095414,0.06180041095441216,57304487.61904762,0.00569737665708492
2019-05-31,22,275.27,-0.06377117202911398,0.1462439580806733,83890595.45454545,0.011300053269056089
2019-06-30,20,293.0,0.06440948886547782,0.11062623710287707,67021777.5,0.007888767618316658
2019-07-31,22,297.43,0.015119453924914872,0.08481041731995628,51617809.54545455,0.006918945568699545
2019-08-31,22,292.45,-0.016743435430185416,0.2304365145328117,92833535.45454545,0.01520056463047315
2019-09-30,20,296.77,0.014771755855701674,0.09178970948826885,66373553.0,0.008491136259774861
2019-10-31,23,303.33,0.02210466017454582,0.12875085859506635,61447506.95652174,0.008883320899842229
2019-11-30,20,314.31,0.03619819998021967,0.056585688878948624,52022000.0,0.004910879491534867
2019-12-31,21,321.86,0.024020871114505127,0.07443347932411751,61453601.9047619,0.0057906791687392725
2020-01-31,21,321.73,-0.0004039023177783152,0.12169971273795523,66449508.571428575,0.008071057007017497
2020-02-29,19,296.26,-0.07916576010940857,0.2494942740288514,111119935.26315789,0.015522670596347427
2020-03-31,22,257.75,-0.12998717342874522,0.8996228103239906,269395922.72727275,0.053412964410672316
2020-04-30,21,290.48,0.12698351115421946,0.40403494776397864,134298644.76190478,0.02703287011465185
2020-05-31,20,304.32,0.047645276783255586,0.2240742247214408,95589216.5,0.01850468946416697
2020-06-30,22,308.36,0.013275499474237451,0.2890265473040351,107258905.45454545,0.01861286112431033
2020-07-31,22,326.52,0.05889220391749861,0.13048208169741352,68435272.27272727,0.013007992830144205
2020-08-31,21,349.31,0.0697966433909103,0.08187486648053167,49799232.38095238,0.008348267552879027
2020-09-30,21,334.89,-0.04128138329850306,0.24695043702937858,86435542.38095239,0.019615698304495083
2020-10-31,22,326.54,-0.02493356027352267,0.2035533782132227,74064015.9090909,0.015278536994126622
2020-11-30,20,362.06,0.10877687266491054,0.16252684618185087,76793931.0,0.012763165068976883
2020-12-31,22,373.88,0.032646522675799705,0.09073719235214643,61157275.45454545,0.009519131182912232
2021-01-31,19,370.07,-0.010190435433829248,0.16699748793254418,73778924.73684211,0.012487799676334486
2021-02-28,19,380.36,0.027805550301293946,0.14353308452108876,68859051.05263157,0.012092608173206737
2021-03-31,23,396.33,0.04198653906825078,0.16451142996717097,104429609.13043478,0.014267884760461038
2021-04-30,21,417.3,0.052910453410037084,0.10495977843364637,69627305.71428572,0.0071183027649412344
2021-05-31,20,420.04,0.006566019650132482,0.14040258000962744,76339379.0,0.009675525703479217
2021-06-30,22,428.06,0.019093419674317325,0.09280796617248527,58279655.45454545,0.006256109013092576
2021-07-31,21,438.51,0.024412465542213768,0.11354185945661983,67719268.09523809,0.008477825666769741
2021-08-31,22,451.56,0.0297598686460967,0.08292376904340086,57010243.18181818,0.006470085991720938
2021-09-30,21,429.14,-0.049650101869076035,0.13042211257978711,83140644.28571428,0.009921602518111975
2021-10-31,21,459.25,0.07016358297991387,0.10875979218375179,71841206.66666667,0.009430300531371246
2021-11-30,21,455.56,-0.008034839412085049,0.12805187003610718,63588165.23809524,0.008156488936044511
2021-12-31,22,474.96,0.04258495039072785,0.17283958182685202,87641155.0,0.013116364067347796
2022-01-31,20,449.91,-0.05274128347650342,0.18675379241180484,124302198.5,0.020551134860501342
2022-02-28,19,436.63,-0.029517014514014006,0.22439593524168833,120955364.21052632,0.01865208355100713
2022-03-31,23,451.64,0.03437693241417317,0.23228939549406527,103523240.86956522,0.01700302654909238
2022-04-30,20,412.0,-0.08776901957311123,0.24937606355726286,92837875.0,0.01815775416229365
2022-05-31,21,412.93,0.002257281553398993,0.3126784732226194,115165627.61904761,0.024009083252338
2022-06-30,21,377.25,-0.08640689705276927,0.29617930461087566,93273943.33333333,0.019420311949806784
2022-07-31,20,411.99,0.09208747514910498,0.1917197458784961,71887419.5,0.017062443997630385
2022-08-31,23,395.18,-0.04080196121265123,0.19304111212559488,62762361.73913044,0.012643097689920502
2022-09-30,21,357.18,-0.0961587124854496,0.2402356990485394,95186131.42857143,0.018971028115305478
2022-10-31,21,386.21,0.08127554734307618,0.27892752520484093,96415802.85714285,0.02334012146156761
2022-11-30,21,407.68,0.055591517568162274,0.27909781510498277,83148334.28571428,0.016272891485499697
2022-12-31,21,382.43,-0.06193583202511754,0.18352398717672705,82665416.66666667,0.015580024335762626
2023-01-31,20,406.48,0.06288732578511125,0.1659312915638965,78772498.0,0.014650228857177611
2023-02-28,19,396.26,-0.02514268844715617,0.15567239731264979,84380228.42105263,0.01322106461100052
2023-03-31,23,409.39,0.03313481047796896,0.18500370346384984,109428705.6521739,0.01509680464128494
2023-04-30,19,415.93,0.015974987176041733,0.12050800352468265,73462143.68421052,0.009318430646560938
2023-05-31,22,417.85,0.004616161373308447,0.12789066726612877,80950402.27272727,0.009508148123102802
2023-06-30,21,443.28,0.06085915998564073,0.10864201609476226,83331342.38095239,0.008845029792771308
2023-07-31,20,457.79,0.03273326114419728,0.07984530287010563,68738744.0,0.007235383553292872
2023-08-31,23,450.35,-0.016251993272024534,0.12305410736155084,76318059.56521739,0.010310003841598176
2023-09-30,20,427.48,-0.05078272454757404,0.1138137211146002,79469527.5,0.00883579340659417
2023-10-31,22,418.2,-0.021708617947038267,0.13979874213411597,90879655.0,0.01291697734401455
2023-11-30,21,456.4,0.0913438546150167,0.11210079953361489,71445013.8095238,0.007456984239314518
2023-12-31,20,475.31,0.04143295354951815,0.09801868632208449,82181215.0,0.007956552423917396
2024-01-31,21,482.88,0.015926448002356652,0.11169690243117017,80964603.33333333,0.008003301526239015
2024-02-29,20,508.08,0.05218687872763472,0.12137516540935622,69680891.5,0.0076366918163863085
2024-03-31,20,523.07,0.029503227838136192,0.10142420078040866,73675058.0,0.007626587095435988
2024-04-30,22,501.98,-0.040319651289502656,0.13178496639083787,72418815.45454545,0.011457353810528802
2024-05-31,22,527.37,0.05057970437069237,0.09497934213097209,52422590.0,0.007702444527811328
2024-06-30,19,544.22,0.03195100214270785,0.06714366055146483,46785433.684210524,0.007734258369433098
2024-07-31,22,550.81,0.012109073536437087,0.1435441553506479,47204079.09090909,0.009581099926469038
2024-08-31,22,563.68,0.02336558886004214,0.1911099278304449,56572678.63636363,0.013520888493456184
2024-09-30,20,573.76,0.01788248651717317,0.1375263238878211,52257977.0,0.010852707874912574
2024-10-31,23,568.64,-0.008923591745678361,0.1111817514400212,42440644.782608695,0.00824209265674828
2024-11-30,20,602.55,0.059633511536297146,0.11888434137887126,45092145.0,0.008282870856818952
2024-12-31,21,586.08,-0.027333831217326687,0.13965057755561644,50458883.333333336,0.009108872059923964
2025-01-31,20,601.82,0.02685640185640148,0.13943865144112097,49780298.0,0.01004546176051276
2025-02-28,19,594.18,-0.012694825695391376,0.13129932516068119,45875866.84210526,0.010866492658750015
2025-03-31,21,559.39,-0.05855128075667282,0.20679599273717136,71284384.76190476,0.01731772714555879
2025-04-30,21,554.54,-0.008670158565580177,0.5269363127317013,106524529.52380952,0.03226693217070209
2025-05-31,21,589.39,0.06284488044144743,0.16965057320154264,66781833.333333336,0.011450250281775093
2025-06-30,20,617.85,0.04828721220244625,0.10183676893594713,74778398.0,0.008439185343483677
2025-07-31,22,632.08,0.023031480132717608,0.06559903740594084,67265944.0909091,0.006660641640640035
2025-08-31,21,645.05,0.020519554486773783,0.11973906684753693,67816113.8095238,0.007637616995000212
2025-09-30,21,666.18,0.03275715060847961,0.07081002642536975,76492793.33333333,0.006883396334193094
2025-10-31,23,682.06,0.023837401302951422,0.13700628222030545,77457389.13043478,0.009842543599460088
2025-11-30,19,683.39,0.001949975075506094,0.153476426824559,87614117.89473684,0.013368471386837978
2025-12-31,22,681.92,-0.002151041133174103,0.08350850502812823,75281301.81818181,0.007428864609309708
2026-01-31,20,691.97,0.01473779915532658,0.10263193148366881,80026893.0,0.007971513674639602
2026-02-28,19,685.99,-0.008641993149991478,0.13382282090442327,84998415.26315789,0.012072922337081168
2026-03-31,22,650.34,-0.05196868759019824,0.18235142418893543,101710210.0,0.01382197727002753
2026-04-30,20,718.66,0.1050527416428324,0.12024548241879296,54616439.95,0.009403885351241443
2026-05-31,20,756.48,0.05262572009016808,0.09760843618785653,47256618.5,0.007708115713592807
2026-06-30,21,746.77,-0.012835765651438624,0.1768989494684831,62624473.809523806,0.01320225162757922
2026-07-31,22,747.03,0.0003481661020128257,0.12093907609412861,48409285.45454545,0.009588813320976034
2026-08-31,15,765.72,0.025019075539135738,0.11685956017532932,42349245.333333336,0.007014555593867273
